,Release Date,link,title
0,"May 24, 2020",https://www.chicagofirefc.com/post/2020/05/24/full-match-replay-chicago-fire-defeat-dc-united-lift-1998-mls-cup,Full match replay | Chicago Fire lift the 1998 MLS Cup
1,"May 21, 2020",https://www.chicagofirefc.com/post/2020/05/21/small-business-spotlight-fad-irish-pub,Small Business Spotlight | Fadó Irish Pub
2,"May 20, 2020",https://www.chicagofirefc.com/post/2020/05/20/small-business-spotlight-ninis-deli,Small Business Spotlight | Nini's Deli
3,"May 19, 2020",https://www.chicagofirefc.com/post/2020/05/19/major-league-soccer-provides-updates-all-star-game-leagues-cup-and-campeones-cup,"Updates on MLS All-Star Game, Leagues Cup and Campeones Cup"
4,"May 19, 2020",https://www.chicagofirefc.com/post/2020/05/19/small-business-spotlight-aj-hudsons,Small Business Spotlight | AJ Hudson's
5,"May 18, 2020",https://www.chicagofirefc.com/post/2020/05/18/small-business-spotlight-standard-bar-grill,Small Business Spotlight | Standard Bar & Grill
6,"May 26, 2020 (6 min)",https://www.chicagofirefc.com/post/2020/05/26/calen-carr-breaks-down-his-top-5-moments-chicago-fire?autoplay=true,Calen Carr breaks down his top 5 moments with the Fire
7,"May 20, 2020 (6 min)",https://www.chicagofirefc.com/post/2020/05/20/fireside-robert-beri-and-jonathan-bornstein-catch-cffc-season-ticket-holders?autoplay=true,"Berić, Bornstein kick it 'By The Fireside'"
8,"May 20, 2020 (1 min)",https://www.chicagofirefc.com/post/2020/05/20/3-times-chicago-fire-won-mls-goal-year?autoplay=true,3 times the Fire won MLS Goal of the Year
9,"May 14, 2020 (8 min)",https://www.chicagofirefc.com/post/2020/05/14/chris-rolfe-breaks-down-his-top-5-goals-chicago-fire?autoplay=true,Chris Rolfe breaks down his top 5 Fire goals
10,"May 13, 2020 (4 min)",https://www.chicagofirefc.com/post/2020/05/13/fireside-fabian-herbers-and-kenneth-kronholm-swap-stories-cffc-season-ticket-holders?autoplay=true,"Herbers, Kronholm share stories for CFFC Season Ticket Holders"
11,"May 5, 2020 (6 min)",https://www.chicagofirefc.com/post/2020/05/05/fireside-cj-sapong-and-djordje-mihailovi-join-tyler-terens-exclusive-cffc-season?autoplay=true,"Sapong, Mihailović chat with CFFC Season Ticket Holders"
