,Release Date,link,title
0,"May 26, 2020",https://www.coloradorapids.com/post/2020/05/26/community-team-week-week-7,Recognizing Heroes Who are Making a Difference
1,"May 21, 2020",https://www.coloradorapids.com/post/2020/05/21/which-your-favorite-check-out-these-mockups-all-your-favorite-colorado-teams-soccer,All of Your Favorite Colorado Teams as Soccer Kits
2,"May 19, 2020",https://www.coloradorapids.com/post/2020/05/19/major-league-soccer-provides-updates-all-star-game-leagues-cup-and-campones-cup,"Update On All-Star Game, Leagues Cup, Campones Cup"
3,"May 19, 2020",https://www.coloradorapids.com/content/mls-jersey-week-bracket-unveiled-vote-your-favorites,MLS Jersey Week Bracket Unveiled: Vote for your Favorites
4,"May 19, 2020",https://www.coloradorapids.com/content/latest-rapids-mls-covid-19,"The Latest From the Rapids, MLS on COVID-19"
5,"May 19, 2020",https://www.coloradorapids.com/post/2020/05/19/rapids-quarantine-mix-song-recommendations-your-favorite-players,Song Recommendations Courtesy of your Favorite Players
6,"May 26, 2020 (8 min)",https://www.coloradorapids.com/post/2020/05/26/altitude-sports-social-scott-palguta-may-26-2020?autoplay=true,Sports Social: Scott Palguta Interview
7,"May 22, 2020 (15 min)",https://www.coloradorapids.com/post/2020/05/22/altitude-sports-social-matt-pickens-may-22-2020?autoplay=true,Sports Social: Matt Pickens Interview
8,"May 21, 2020 (9 min)",https://www.coloradorapids.com/post/2020/05/21/altitude-sports-social-ross-paule-may-21-2020?autoplay=true,Sports Social: Ross Paule Interview
9,"May 20, 2020 (11 min)",https://www.coloradorapids.com/post/2020/05/20/altitude-sports-social-omar-cummings-may-20-2020?autoplay=true,Sports Social: Omar Cummings Interview
10,"May 20, 2020 (2 min)",https://www.coloradorapids.com/post/2020/05/20/jerseyswapchallenge-andre-shinyashiki-recalls-swapping-jerseys-zlatan?autoplay=true,Andre Shinyashiki Recalls Swapping Jerseys with Zlatan
11,"May 19, 2020 (9 min)",https://www.coloradorapids.com/post/2020/05/19/altitude-sports-social-ritchie-kotschau-may-19-2020?autoplay=true,Sports Social: Ritchie Kotschau Interview
