,Release Date,link,title
0,"May 27, 2020",https://www.fccincinnati.com/post/2020/05/27/nick-hagglund-face-fcc-fiddle,Nick Hagglund face FCC Fiddle
1,"May 25, 2020",https://www.fccincinnati.com/post/2020/05/25/rewatch-players-remember-first-postseason-win,Rewatch: Players remember first postseason win
2,"May 23, 2020",https://www.fccincinnati.com/post/2020/05/23/sunderland-s-first-year-fcc-growth-and-progress,Sunderland’s first year at FCC: Growth and progress
3,"May 22, 2020",https://www.fccincinnati.com/post/2020/05/22/what-they-re-saying-about-stam,What they’re saying about Stam
4,"May 22, 2020",https://www.fccincinnati.com/post/2020/05/22/key-points-stam-s-introduction,Key points from Stam’s introduction
5,"May 21, 2020",https://www.fccincinnati.com/post/2020/05/21/star64-re-air-2018-usl-cup-playoff-match-against-nashville-saturday,Star64 to re-air 2018 USL Cup Playoff match against Nashville on Saturday
6,"May 23, 2020 (4 min)",https://www.fccincinnati.com/post/2020/05/23/sunderland-pre-academy-u-19-teams?autoplay=true,"Sunderland on the Pre-Academy, U-19 teams"
7,"May 22, 2020 (17 min)",https://www.fccincinnati.com/post/2020/05/22/jaap-stam-introduction?autoplay=true,Jaap Stam Introduction
8,"May 21, 2020 (2 min)",https://www.fccincinnati.com/post/2020/05/21/highlights-fiddle-vs-bitw7?autoplay=true,Highlights: Fiddle vs BITW7
9,"May 21, 2020 (2 min)",https://www.fccincinnati.com/post/2020/05/21/welcome-jaap-stam?autoplay=true,Welcome Jaap Stam
10,"May 19, 2020 (30 min)",https://www.fccincinnati.com/post/2020/05/19/call-waston?autoplay=true,The Call Up: Waston
11,"May 19, 2020 (2 min)",https://www.fccincinnati.com/post/2020/05/19/workout-wednesday-stanko?autoplay=true,Workout Wednesday | Stanko
