,Release Date,link,title
0,"25 Mai, 2020",https://www.impactmontreal.com/fr/post/2020/05/25/la-mentalit%C3%A9-gagnante-de-shamit-shome,La mentalité gagnante de Shamit Shome
1,"23 Mai, 2020",https://www.impactmontreal.com/fr/post/2020/05/23/les-joueurs-pourront-acc%C3%A9der-au-centre-nutrilait-pour-leur-remise-en-forme,Accès au CN pour s’entraîner individuellement
2,"22 Mai, 2020",https://www.impactmontreal.com/fr/post/2020/05/22/en-un-clin-d%E2%80%99%C5%93il,En un clin d’œil
3,"22 Mai, 2020",https://www.impactmontreal.com/fr/post/2020/05/22/rewind-imfc-v-tfc-2015,Rewind - IMFC v TFC | 2015
4,"20 Mai, 2020",https://www.impactmontreal.com/fr/post/2020/05/20/mtl-v-ne-2015,MTL v NE | 2015
5,"15 Mai, 2020",https://www.impactmontreal.com/fr/post/2020/05/15/rewind-mtl-v-nycfc-2015,Rewind - MTL v NYCFC | 2015
6,"26 Mai, 2020 (1 min)",https://www.impactmontreal.com/fr/post/2020/05/26/commentaires-de-saphir-taider-sur-le-retour?autoplay=true,Commentaires de Saphir Taider sur le retour
7,"26 Mai, 2020 (1 min)",https://www.impactmontreal.com/fr/post/2020/05/26/bojan-commente-le-retour-%C3%A0-lentrainement?autoplay=true,Bojan commente le retour à l'entrainement
8,"22 Mai, 2020 (103 min)",https://www.impactmontreal.com/fr/post/2020/05/22/imfc-v-tfc-2015?autoplay=true,IMFC v TFC | 2015
9,"22 Mai, 2020 (40 min)",https://www.impactmontreal.com/fr/post/2020/05/22/comment-analyser-son-adversaire-avec-philippe-eullaffroy?autoplay=true,Comment analyser l'adversaire avec P. Eullaffroy
10,"21 Mai, 2020 (100 min)",https://www.impactmontreal.com/fr/post/2020/05/21/match-classique-mtl-v-ne-2015?autoplay=true,Match classique | MTL v NE - 2015
11,"15 Mai, 2020 (102 min)",https://www.impactmontreal.com/fr/post/2020/05/15/match-classique-nycfc-v-mtl-2015?autoplay=true,Match classique | NYCFC v MTL - 2015
