,Release Date,link,title
0,"May 26, 2020",https://www.newyorkredbulls.com/post/2020/05/26/sean-davis-and-chris-armas-share-their-thoughts-return-training,"Davis, Armas Share Their Thoughts on Return to Training"
1,"May 25, 2020",https://www.newyorkredbulls.com/post/2020/05/25/photos-new-york-red-bulls-return-training,PHOTOS: Red Bulls Return to Training
2,"May 25, 2020",https://www.newyorkredbulls.com/post/2020/05/25/new-york-red-bulls-return-individual-training,Red Bulls Return to Individual Training
3,"May 21, 2020",https://www.newyorkredbulls.com/post/2020/05/21/checking-brian-white,CHECKING IN: Brian White
4,"May 21, 2020",https://www.newyorkredbulls.com/post/2020/05/21/meet-our-homegrown-hero-niall-rouse,"Meet our Homegrown Hero, Niall Rouse"
5,"May 20, 2020",https://www.newyorkredbulls.com/post/2020/05/20/depth-field-team-photographer-ben-solomons-favorite-new-york-red-bulls-photos,DEPTH OF FIELD | Photographer's Favorite RBNY Pics
6,"May 25, 2020 (3 min)",https://www.newyorkredbulls.com/post/2020/05/25/sean-davis-its-great-day-us?autoplay=true,Davis: 'It's a Great Day for Us'
7,"May 25, 2020 (1 min)",https://www.newyorkredbulls.com/post/2020/05/25/individual-training-red-bull-training-facility-052520?autoplay=true,WATCH: Individual Training at RBTF
8,"May 6, 2020 (1 min)",https://www.newyorkredbulls.com/post/2020/05/06/letter-chris-armas-his-wife-national-nurses-day?autoplay=true,Letter from Armas to His Wife on National Nurses Day
9,"May 4, 2020 (3 min)",https://www.newyorkredbulls.com/post/2020/05/04/clubs-first-mls-win?autoplay=true,Club's First MLS Win
10,"April 22, 2020 (5 min)",https://www.newyorkredbulls.com/post/2020/04/22/earth-day-gardening-kendall-mcintosh-pres-bayer?autoplay=true,"EARTH DAY | Gardening with Kendall McIntosh, pres. by Bayer"
11,"March 30, 2020 (1 min)",https://www.newyorkredbulls.com/post/2020/03/30/thank-you-doctors-nurses-and-all-medical-personnel?autoplay=true,"Thank You Doctors, Nurses and All Medical Personnel"
