,Release Date,link,title
0,"May 27, 2020",https://www.philadelphiaunion.com/post/2020/05/27/union-ii-looks-promotion-against-la-galaxy-ii-wednesday-night,Union II looks for promotion against LA Galaxy II Wednesday night
1,"May 26, 2020",https://www.philadelphiaunion.com/post/2020/05/26/union-ii-defeat-tacoma-4-0-usl-ecup,Union II defeat Tacoma 4-0 in USL eCup
2,"May 26, 2020",https://www.philadelphiaunion.com/post/2020/05/26/philadelphia-union-joins-all-challenge,Philadelphia Union Joins ALL IN Challenge
3,"May 26, 2020",https://www.philadelphiaunion.com/post/2020/05/26/premier-orthopaedics-training-photo-gallery-back-it,Premier Orthopaedics Training Photo Gallery: Back at it
4,"May 26, 2020",https://www.philadelphiaunion.com/post/2020/05/26/fight-small-business-cheryls-delivers-200-meals-cityteam-chester,Fight For Small Business: Cheryl's delivers 200 meals to CityTeam Chester
5,"May 26, 2020",https://www.philadelphiaunion.com/post/2020/05/26/philadelphia-union-philadelphia-union-foundation-launch-fight-small-business,Philadelphia Union & Philadelphia Union Foundation Launch “FIGHT FOR SMALL BUSINESS” Campaign
6,"May 26, 2020 (1 min)",https://www.philadelphiaunion.com/post/2020/05/26/union-ii-roll-4-0-win-over-tacoma?autoplay=true,Union II roll in 4-0 win over Tacoma
7,"May 26, 2020 (1 min)",https://www.philadelphiaunion.com/post/2020/05/26/all-challenge-ultimate-fan-experience?autoplay=true,All In Challenge: The Ultimate Fan Experience
8,"May 26, 2020 (1 min)",https://www.philadelphiaunion.com/post/2020/05/26/fight-small-business-cheryls-southern-style-catering?autoplay=true,Fight for Small Business- Cheryl's Southern Style Catering
9,"May 25, 2020 (3 min)",https://www.philadelphiaunion.com/post/2020/05/25/performance-director-garrison-draper-how-union-are-returning-training-pitch?autoplay=true,Performance Director Garrison Draper on how the Union are returning to the training pitch
10,"May 23, 2020 (4 min)",https://www.philadelphiaunion.com/post/2020/05/23/highlights-santos-leads-union-past-colorado?autoplay=true,Highlights: Santos leads Union past Colorado
11,"May 22, 2020 (1 min)",https://www.philadelphiaunion.com/post/2020/05/22/sergio-santos-speaks-about-being-back-pitch?autoplay=true,Sergio Santos speaks about being back on the pitch
