,Release Date,link,title
0,"May 27, 2020",https://www.revolutionsoccer.net/post/2020/05/27/wells-hope-former-revs-midfielder-runs-100-miles-24-hours-charity,Wells of Hope | Former Rev runs 100 miles in 24 hrs for charity
1,"May 22, 2020",https://www.revolutionsoccer.net/post/2020/05/22/hometown-heroes-marshalls-working-frontlines-making-sacrifices-family,"Hometown Heroes | Marshalls, on frontlines, sacrifice for family"
2,"May 21, 2020",https://www.revolutionsoccer.net/post/2020/05/21/get-know-revolution-ii-maciel,Get to Know Revolution II | Maciel
3,"May 21, 2020",https://www.revolutionsoccer.net/post/2020/05/21/far-post-podcast-327-may-21-2020,Far Post Podcast | Checking in with Andrew Farrell
4,"May 20, 2020",https://www.revolutionsoccer.net/post/2020/05/20/major-league-soccer-cancels-2020-all-star-game-presented-target,MLS cancels 2020 All-Star Game presented by Target
5,"May 18, 2020",https://www.revolutionsoccer.net/post/2020/05/18/usl-ecup-recap-john-jko-oliveira-s-championship-week-earns-revolution-ii-promotion,USL eCup RECAP | JKO earns Revs II promotion to Division A
6,"May 23, 2020 (4 min)",https://www.revolutionsoccer.net/post/2020/05/23/fifa-20-simulation-highlights-new-england-revolution-4-toronto-fc-3?autoplay=true,FIFA 20 Sim Highlights | Buksa's hat trick lifts Revs
7,"May 23, 2020 (1 min)",https://www.revolutionsoccer.net/post/2020/05/23/fifa-20-simulation-goal-buksa-completes-his-hat-trick-late-winner?autoplay=true,FIFA 20 Sim GOAL | Buksa completes his hat trick with late winner
8,"May 23, 2020 (1 min)",https://www.revolutionsoccer.net/post/2020/05/23/fifa-20-simulation-goal-buksa-fires-home-his-second-near-post?autoplay=true,FIFA 20 Sim GOAL | Buksa fires home at the near post
9,"May 23, 2020 (1 min)",https://www.revolutionsoccer.net/post/2020/05/23/fifa-20-simulation-goal-gil-curls-home-beauty-outside-box?autoplay=true,FIFA 20 Sim GOAL | Gil curls home a beauty from outside the box
10,"May 23, 2020 (1 min)",https://www.revolutionsoccer.net/post/2020/05/23/fifa-20-simulation-goal-buksa-opens-scoring-close-range?autoplay=true,FIFA 20 Sim GOAL | Buksa opens the scoring from close range
11,"May 23, 2020 (1 min)",https://www.revolutionsoccer.net/post/2020/05/23/fifa-20-simulation-var-buksa-denied-fourth-offside-flag?autoplay=true,FIFA 20 Sim VAR | Buksa denied a fourth by the offside flag
