,Release Date,link,title
0,"May 26, 2020",https://www.soundersfc.com/post/2020/05/26/pitch-black-voted-best-mls-jersey-all-time,Pitch Black voted Best MLS Jersey of All-Time
1,"May 26, 2020",https://www.soundersfc.com/post/2020/05/26/kasey-kellers-final-regular-season-mls-match-selected-may-30-sounders-fc-classics,Keller's final MLS match selected for May 30 SFC Classics
2,"May 23, 2020",https://www.soundersfc.com/post/2020/05/23/sounders-fc-classics-seattle-sounders-dismantle-portland-timbers-road-2014,WATCH: Sounders put on attacking clinic in 2014 win over Timbers
3,"May 22, 2020",https://www.soundersfc.com/post/2020/05/22/join-seavpdx-trivia-challenge-presented-zulily-friday-afternoon-4-pm-pt,Join the SEAvPDX Trivia Challenge this Friday at 4 p.m. PT
4,"May 22, 2020",https://www.soundersfc.com/post/2020/05/22/seavpdx-week-concludes-tomorrow-evening-seattle-portland-battle-sounders-fc-classics,"SEAvPDX Week concludes tomorrow evening with a Seattle-Portland battle on ""Sounders FC Classics,"" presented by Zulily"
5,"May 21, 2020",https://www.soundersfc.com/post/2020/05/21/seavpdx-best-social-media-banter-rivalry,SEAvPDX: The best social media banter from the rivalry
6,"May 26, 2020 (3 min)",https://www.soundersfc.com/post/2020/05/26/kasey-kellers-farewell-match-selected-may-30-sounders-fc-classics?autoplay=true,WATCH: Kasey Keller's farewell match on Sounders Classics
7,"May 26, 2020 (1 min)",https://www.soundersfc.com/post/2020/05/26/sounders-fc-continues-individual-workouts-training-facility?autoplay=true,WATCH: Sounders continue individual workouts at Starfire
8,"May 26, 2020 (1 min)",https://www.soundersfc.com/post/2020/05/26/sounders-fc-classics-obafemi-martins-makes-mesmerizing-run-through-portlands-defense?autoplay=true,WATCH: Sounders FC Classics Martins makes mesmerizing run to score
9,"May 26, 2020 (1 min)",https://www.soundersfc.com/post/2020/05/26/sounders-fc-classics-obafemi-martins-buries-cross-brad-evans-por?autoplay=true,WATCH: Sounders FC Classics Martins buries cross from Brad Evans
10,"May 26, 2020 (1 min)",https://www.soundersfc.com/post/2020/05/26/sounders-fc-classics-clint-dempsey-makes-95-yard-run-finish-goal-por?autoplay=true,WATCH: Sounders FC Classics Clint Dempsey makes 95-yard run
11,"May 26, 2020 (1 min)",https://www.soundersfc.com/post/2020/05/26/sounders-fc-classics-chad-barrett-scores-and-hits-ballerina-celebration-por?autoplay=true,WATCH: Sounders FC Classics Barrett celebrates goal with dance
