,Release Date,link,title
0,"May 28, 2020",https://www.torontofc.ca/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,MLS Clubs to Begin Voluntary Small Group Training Sessions
1,"May 26, 2020 (26 min)",https://www.torontofc.ca/post/2020/05/26/tfc-returns-mls-cup-ft-michael-bradley-steven-beitashour-drew-moor-reds-rewind?autoplay=true,"REDS REWIND | '17 Conference Champs ft. Bradley, Moor, Beitashour"
2,"May 22, 2020",https://www.torontofc.ca/post/2020/05/22/kings-east-when-q-made-save-point-i-knew-was-our-game,"Kings of the East | 'When Q made that save, from that point on, I knew this was our game'"
3,"May 22, 2020 (2 min)",https://www.torontofc.ca/post/2020/05/22/q16-all-one-moment-presented-bell?autoplay=true,ALL FOR ONE | Q16
4,"May 19, 2020 (21 min)",https://www.torontofc.ca/post/2020/05/19/fastest-goal-late-pk-drama-ft-quentin-westberg-tsubasa-endoh-jacob-shaffelburg-reds?autoplay=true,"REDS REWIND | PK Drama vs. ATL ft. Westberg, Endoh, Shaffelburg"
5,"May 16, 2020 (9 min)",https://www.torontofc.ca/post/2020/05/16/anchor-all-one-presented-bell-s08e02?autoplay=true,ALL FOR ONE | The Anchor
6,"May 28, 2020",https://www.whitecapsfc.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,MLS clubs to begin small group training
7,"May 27, 2020",https://www.whitecapsfc.com/post/2020/05/27/caps-special-relationship-penelakut-island-community,'Caps special relationship with Penelakut Island community
8,"May 25, 2020",https://www.whitecapsfc.com/youth/post/2020/05/25/vancouver-whitecaps-fc-welcome-irish-club-beechwood-fc-live-skills-clinic-presented,'Caps welcome Irish club Beechwood FC to Jumpstart Skills Clinic
9,"May 25, 2020",https://www.whitecapsfc.com/post/2020/05/25/getting-know-presented-ge-appliances-maxime-crepeau,Getting to know: Maxime Crépeau
10,"May 25, 2020",https://www.whitecapsfc.com/content/vote-quarterfinals-whos-got-best-skill-or-trick,VOTE: Quarterfinals - Who's got the best skill or trick?
11,"May 23, 2020",https://www.whitecapsfc.com/post/2020/05/23/dasos-football-doctorate-qa-england-mnt-manager-gareth-southgate,Daso's Doctorate: Q&A with Gareth Southgate
